Dataset: Southeast US Summer,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Menticirrhus americanus,Southern kingfish,31.221,30.914,-0.307,-0.98,-12.662,-13.49,-0.828,6.54
Menticirrhus littoralis,Gulf kingfish,29.611,30.047,0.436,1.47,-16.999,-14.679,2.32,-13.65
Micropogonias undulatus,Atlantic croaker,32.383,32.363,-0.019,-0.06,-13.101,-12.425,0.676,-5.16
Opisthonema oglinum,Atlantic thread herring,31.323,32.336,1.013,3.23,-13.705,-11.241,2.464,-17.98
Orthopristis chrysoptera,Pigfish,33.241,33.921,0.681,2.05,-13.339,-12.714,0.625,-4.69
Ovalipes ocellatus,Ocellate lady crab,33.632,33.174,-0.458,-1.36,-11.301,-10.623,0.678,-6
Ovalipes stephensoni,Coarsehand lady crab,33.784,33.601,-0.184,-0.54,-12.511,-11.694,0.817,-6.53
Pagurus pollicaris,Gray hermit crab,31.819,32.325,0.506,1.59,-9.655,-9.631,0.024,-0.25
Paralichthys dentatus,Summer flounder,34.132,33.643,-0.489,-1.43,-12.503,-10.977,1.525,-12.2
Paralichthys lethostigma,Southern flounder,32.079,32.045,-0.034,-0.11,-9.833,-12.434,-2.602,26.46
Penaeus aztecus,Brown shrimp,33.864,32.502,-1.362,-4.02,-11.546,-12.616,-1.07,9.26
Penaeus setiferus,Northern white shrimp,31.108,30.522,-0.585,-1.88,-12.386,-13.891,-1.505,12.15
Peprilus paru,Harvestfish,32.565,32.35,-0.215,-0.66,-11.655,-11.489,0.167,-1.43
Peprilus triacanthus,American butterfish,33.457,32.402,-1.055,-3.15,-12.171,-11.279,0.891,-7.32
Persephona mediterranea,Mottled purse crab,31.208,30.301,-0.907,-2.91,-11.828,-12.463,-0.635,5.37
Pomatomus saltatrix,Bluefish,32.719,33.398,0.679,2.08,-12.586,-10.9,1.686,-13.4
Prionotus carolinus,Northern searobin,33.646,33.519,-0.127,-0.38,-11.708,-10.734,0.974,-8.32
Prionotus evolans,Striped searobin,31.614,32.528,0.913,2.89,-9.96,-10.057,-0.097,0.97
Prionotus scitulus,Leopard searobin,31.248,33.144,1.896,6.07,-13.506,-10.701,2.805,-20.77
Prionotus tribulus,Bighead searobin,31.895,33.252,1.357,4.25,-13.559,-12.987,0.572,-4.22
Rhizoprionodon terraenovae,Atlantic sharpnose shark,32.864,33.267,0.403,1.23,-10.883,-10.859,0.024,-0.22
Scomberomorus cavalla,King mackerel,31.752,29.915,-1.837,-5.79,-13.251,-15.631,-2.38,17.96
Scomberomorus maculatus,Spanish mackerel,31.666,33.605,1.939,6.12,-12.814,-11.349,1.465,-11.43
Selene setapinnis,Atlantic moonfish,29.69,30.892,1.203,4.05,-15.828,-14.178,1.65,-10.42
Selene vomer,Lookdown,31.97,32.843,0.873,2.73,-9.87,-9.737,0.133,-1.35
Sphoeroides maculatus,Northern puffer,33.637,34.334,0.697,2.07,-11.303,-11.896,-0.593,5.25
Sphyraena guachancho,Guachanche barracuda,30.241,33.933,3.691,12.21,-15.347,-11.731,3.616,-23.56
Sphyrna tiburo,Bonnethead,31.64,31.632,-0.008,-0.02,-11.095,-11.163,-0.068,0.61
Squilla empusa,Mantis shrimp,33.23,31.983,-1.248,-3.75,-11.054,-7.748,3.306,-29.91
Stellifer lanceolatus,Star drum,31.365,31.547,0.182,0.58,-10.604,-11.907,-1.303,12.29
Stephanolepis hispida,Planehead filefish,33.608,33.794,0.186,0.55,-10.33,-10.195,0.135,-1.31
Synodus foetens,Inshore lizardfish,33.563,33.615,0.052,0.15,-12.588,-12.429,0.16,-1.27
Trichiurus lepturus,Atlantic cutlassfish,32.439,31.84,-0.6,-1.85,-9.396,-11.871,-2.475,26.34
Trinectes maculatus,Hogchoker,31.162,30.424,-0.738,-2.37,-11.934,-14.131,-2.197,18.41
