Dataset: West Coast Annual,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Pasiphaea pacifica,Pacific glass shrimp,42.537,39.065,-3.472,-8.16,-282.017,-521.783,-239.766,85.02
Pasiphaea tarda,Crimson pasiphaeid,35.1,34.825,-0.275,-0.78,-924.853,-892.203,32.649,-3.53
Platymera gaudichaudii,Armed box crab,35.997,34.714,-1.283,-3.56,-273.406,-328.058,-54.653,19.99
Pleurobranchaea californica,,35.385,35.946,0.561,1.59,-201.2,-190.691,10.509,-5.22
Pleuronichthys decurrens,Curlfin sole,39.134,38.731,-0.403,-1.03,-106.574,-134.91,-28.336,26.59
Porichthys notatus,Plainfin midshipman,37.22,37.593,0.373,1,-161.765,-154.098,7.668,-4.74
Pseudostichopus mollis,Sandy sea cucumber,37.923,41.291,3.367,8.88,-790.56,-647.791,142.769,-18.06
Rathbunaster californicus,California sun star,38.98,38.975,-0.004,-0.01,-240.336,-326.786,-86.449,35.97
Rossia pacifica,Eastern pacific bobtail,41.273,43.092,1.82,4.41,-154.237,-253.121,-98.884,64.11
Sagenaster evermanni,Evermann's star,35.836,37.911,2.075,5.79,-947.485,-945.177,2.308,-0.24
Sebastes alutus,Pacific ocean perch,47.009,46.519,-0.489,-1.04,-359.587,-309.387,50.2,-13.96
Sebastes aurora,Aurora rockfish,36.044,36.447,0.403,1.12,-526.416,-580.68,-54.265,10.31
Sebastes babcocki,Redbanded rockfish,45.433,45.564,0.131,0.29,-300.846,-279.594,21.252,-7.06
Sebastes chlorostictus,Greenspotted rockfish,36.853,38.409,1.555,4.22,-206.445,-197.81,8.635,-4.18
Sebastes crameri,Darkblotched rockfish,44.784,44.465,-0.319,-0.71,-309.153,-308.947,0.205,-0.07
Sebastes diploproa,Splitnose rockfish,39.095,38.363,-0.732,-1.87,-322.464,-333.688,-11.224,3.48
Sebastes elongatus,Greenstriped rockfish,44.379,44.003,-0.376,-0.85,-191.287,-201.465,-10.178,5.32
Sebastes flavidus,Yellowtail rockfish,47.036,47.418,0.383,0.81,-243.146,-175.178,67.967,-27.95
Sebastes goodei,Chilipepper rockfish,38.224,38.49,0.266,0.7,-234.331,-267.98,-33.649,14.36
Sebastes helvomaculatus,Rosethorn rockfish,43.224,44.869,1.646,3.81,-261.11,-247.443,13.667,-5.23
Sebastes jordani,Shortbelly rockfish,36.658,39.451,2.793,7.62,-240.937,-233.151,7.786,-3.23
Sebastes paucispinis,Bocaccio,37.11,39.495,2.385,6.43,-272.035,-258.386,13.649,-5.02
Sebastes pinniger,Canary rockfish,44.943,45.089,0.147,0.33,-180.291,-175.728,4.563,-2.53
Sebastes saxicola,Stripetail rockfish,38.188,40.288,2.099,5.5,-264.333,-256.937,7.396,-2.8
Sebastes semicinctus,Halfbanded rockfish,34.217,34.451,0.234,0.68,-250.035,-169.594,80.44,-32.17
Sebastes zacentrus,Sharpchin rockfish,43.697,45.086,1.389,3.18,-239.988,-279.076,-39.088,16.29
Sebastolobus alascanus,Shortspine thornyhead,38.833,40.6,1.767,4.55,-725.412,-683.872,41.54,-5.73
Sebastolobus altivelis,Longspine thornyhead,39.575,39.768,0.193,0.49,-899.931,-925.77,-25.839,2.87
Squalus suckleyi,Pacific spiny dogfish,45.016,43.492,-1.524,-3.39,-180.06,-175.508,4.551,-2.53
Stylasterias forreri,Velcro star,45.139,41.58,-3.559,-7.88,-179.865,-275.479,-95.614,53.16
Talismania bifurcata,Threadfin slickhead,35.005,37.536,2.531,7.23,-883.83,-858.817,25.013,-2.83
Thrissacanthias penicillatus,,36.19,37.597,1.407,3.89,-972.195,-923.904,48.292,-4.97
Tritonia tetraquetra,Large orange peel nudibranch,40.372,39.208,-1.163,-2.88,-465.068,-647.465,-182.397,39.22
Zalembius rosaceus,Pink seaperch,35.497,36.498,1.001,2.82,-192.873,-155.897,36.976,-19.17
Zaniolepis latipinnis,Longspine combfish,35.895,36.989,1.094,3.05,-171.365,-123.71,47.654,-27.81
